code,scale
580003.OF,798720130.98 
580006.OF,59131344.47 
580007.OF,23249798.54 
580008.OF,189485726.00 
582003.OF,30799357.75 
590001.OF,4217998490.73 
590002.OF,9950218521.93 
590005.OF,2305668842.94 
590008.OF,10943709201.43 
610001.OF,1965682157.25 
610004.OF,125567827.16 
610005.OF,92845552.30 
610006.OF,234515771.99 
610007.OF,120511635.02 
620001.OF,151179026.32 
620004.OF,32191691.37 
620005.OF,35203806.54 
620006.OF,19633094.33 
620008.OF,30102151.80 
630001.OF,3032929536.45 
630002.OF,7297284621.71 
630006.OF,198165804.73 
630010.OF,5815052175.43 
630011.OF,2960375932.78 
660001.OF,2586557002.34 
660003.OF,384181497.72 
660004.OF,430347812.83 
660005.OF,1928611005.23 
660006.OF,324424021.92 
660010.OF,113858776.32 
660012.OF,1917550546.54 
660015.OF,314713407.39 
671010.OF,51701732.87 
688888.OF,233434092.48 
690003.OF,263998206.13 
690004.OF,78871961.66 
690005.OF,229925496.80 
690007.OF,122466452.21 
700001.OF,533584697.98 
700003.OF,270502150.69 
710001.OF,2457284246.11 
730001.OF,60689997.42 
730002.OF,19829134.08 
740001.OF,160755931.42 
960001.OF,441789.47 
960006.OF,
960007.OF,
960008.OF,
960010.OF,
960011.OF,
960012.OF,
960013.OF,
960014.OF,
960015.OF,
960016.OF,
960018.OF,
960019.OF,
960020.OF,
960023.OF,
F000172.OF,
F050004.OF,
F050010.OF,
F050026.OF,
F070001.OF,
F070013.OF,
F450003.OF,
F450004.OF,
F450005.OF,
J460002.OF,
J519110.OF,
000749.OF,1705950037.97 
001495.OF,51875014.62 
002001.OF,7605525422.28 
002021.OF,4324789142.15 
002162.OF,1.00 
002440.OF,
040001.OF,3142267270.25 
040004.OF,2199824824.07 
050001.OF,5684115648.54 
050007.OF,720435434.26 
050201.OF,2208877525.63 
090001.OF,3075530681.73 
100016.OF,1125666123.83 
110001.OF,2238667131.95 
121002.OF,981502316.24 
161605.OF,1043681825.35 
180001.OF,1484783783.41 
202002.OF,2635579440.02 
270001.OF,2224161565.58 
373010.OF,2922581577.03 
519654.OF,2682312742.39 
519732.OF,104872047.23 
960002.OF,7605525422.28 
960005.OF,
000029.OF,247576154.07 
000056.OF,54841030.42 
000060.OF,3861122.41 
000063.OF,3248285443.36 
000065.OF,2929515029.42 
000073.OF,218651191.88 
000136.OF,604765990.67 
000165.OF,424349721.96 
000167.OF,321631480.93 
000178.OF,2522066372.11 
000190.OF,4919001573.72 
000199.OF,67965927.03 
000214.OF,433646864.06 
000215.OF,74760205.02 
000219.OF,231328732.76 
000241.OF,135234917.73 
000242.OF,317025446.66 
000259.OF,65988775.48 
000264.OF,406078814.85 
000273.OF,502050314.82 
000278.OF,2389771063.49 
000279.OF,944421042.21 
000314.OF,311953288.49 
000328.OF,2516426912.85 
000336.OF,464718195.66 
000362.OF,81960189.13 
000363.OF,33503795.74 
000390.OF,1455547102.34 
000398.OF,4484604495.61 
000404.OF,2694878396.99 
000408.OF,193529292.59 
000410.OF,327769252.49 
000417.OF,2655307692.43 
000423.OF,922950356.18 
000431.OF,2405057235.45 
000433.OF,248292089.80 
000452.OF,588661207.08 
000458.OF,106752507.22 
000462.OF,874067079.08 
000477.OF,2446084970.56 
000480.OF,1285168867.11 
000496.OF,41911077.75 
000511.OF,553925269.43 
000512.OF,331418225.98 
000520.OF,146752765.62 
000523.OF,290192425.31 
000526.OF,1147164738.58 
000527.OF,218070908.50 
000529.OF,882815806.82 
000530.OF,1005458187.15 
000531.OF,109247867.75 
000534.OF,781152370.51 
000535.OF,212522955.13 
000538.OF,1623932804.11 
000541.OF,2844060594.94 
000545.OF,3854217204.43 
000554.OF,373457937.52 
000556.OF,1183039512.82 
000557.OF,1901409719.08 
000566.OF,629645878.35 
000567.OF,848292136.86 
000572.OF,3999373064.41 
000573.OF,2762909398.48 
000574.OF,3555795531.41 
000584.OF,634745695.75 
000587.OF,465080690.65 
000590.OF,1959494026.66 
000595.OF,2376582145.66 
000597.OF,3339378459.73 
000598.OF,502643071.33 
000603.OF,4262501441.53 
000609.OF,948100161.89 
000619.OF,656378597.98 
000634.OF,465041450.66 
000652.OF,798722370.73 
000654.OF,5793488906.06 
000663.OF,1024873094.26 
000664.OF,3859511081.04 
000679.OF,750275302.66 
000684.OF,157269989.38 
000689.OF,301353262.29 
000690.OF,236551498.51 
000698.OF,5030823175.85 
000706.OF,83722656.39 
000708.OF,2891635745.84 
000714.OF,546503469.13 
000717.OF,153384807.81 
000727.OF,423284990.80 
000739.OF,107484606.76 
000742.OF,763682815.57 
000743.OF,1008075489.07 
000747.OF,117611442.20 
000755.OF,790589353.59 
000757.OF,914380744.45 
000763.OF,1947515761.97 
000767.OF,221749692.46 
000772.OF,1293799292.21 
000788.OF,60173681.32 
000794.OF,198106943.23 
000796.OF,833669512.99 
000805.OF,1493154301.16 
000822.OF,42378362.15 
000823.OF,544225399.99 
000824.OF,496236480.45 
000825.OF,45474606.55 
000841.OF,150878699.06 
000843.OF,31352553.04 
000845.OF,265518507.23 
000849.OF,1128185850.81 
000850.OF,280042803.52 
000870.OF,2083338144.06 
000877.OF,364982668.56 
000878.OF,520303888.62 
000879.OF,224799752.90 
000880.OF,2932505145.20 
000886.OF,141867202.33 
000892.OF,7643508.57 
000904.OF,996413265.72 
000924.OF,1130429130.74 
000926.OF,116589007.47 
000928.OF,208912377.36 
000935.OF,344425564.96 
000936.OF,438383777.16 
000939.OF,463540976.97 
000947.OF,2115064599.78 
000953.OF,20221486.67 
000954.OF,4604255969.86 
000963.OF,806861435.79 
000966.OF,480014876.65 
000967.OF,228951387.40 
000969.OF,674746651.18 
000970.OF,983532352.09 
000972.OF,148220804.82 
000976.OF,2410473440.99 
000977.OF,1827489050.15 
000986.OF,12725172.98 
000993.OF,844749902.82 
000994.OF,233821230.11 
000995.OF,159010880.23 
001004.OF,613532104.11 
001005.OF,82439192.41 
001007.OF,2119285059.26 
001017.OF,833755713.88 
001018.OF,651188715.04 
001029.OF,3223725286.59 
001030.OF,552567343.99 
001037.OF,2029632675.89 
001053.OF,1895719393.63 
001056.OF,1034579617.78 
001060.OF,954995653.69 
001067.OF,1411425401.76 
001068.OF,282070321.87 
001069.OF,1033900803.14 
001071.OF,1896802170.83 
001074.OF,1735124879.11 
001075.OF,4233850002.78 
001102.OF,727690337.21 
001103.OF,1485654069.33 
001106.OF,1782162094.77 
001110.OF,5011989.33 
001111.OF,2650324232.86 
001112.OF,6203834366.01 
001117.OF,2021204161.22 
001119.OF,515808648.67 
001120.OF,37816386.68 
001121.OF,286751445.26 
001122.OF,650342459.84 
001123.OF,2179849079.26 
001125.OF,2687274511.87 
001127.OF,2676068820.80 
001128.OF,3288110133.18 
001135.OF,434383067.81 
001136.OF,6936778048.97 
001139.OF,3592781420.45 
001140.OF,2918599029.47 
001141.OF,285035284.57 
001142.OF,2502998955.80 
001143.OF,3356167697.31 
001146.OF,521395717.76 
001147.OF,2114976115.89 
001148.OF,1729910852.30 
001150.OF,3939434062.65 
001152.OF,1721052478.21 
001154.OF,179565108.49 
001156.OF,944941534.23 
001157.OF,1878106199.95 
001159.OF,1978652660.26 
001164.OF,3405633165.30 
001165.OF,211394742.83 
001168.OF,3182812153.73 
001169.OF,3750497607.75 
001170.OF,1391860952.85 
001172.OF,1268445976.13 
001173.OF,2514010016.70 
001174.OF,2526150.95 
001179.OF,250446204.93 
001181.OF,2649539446.19 
001183.OF,1780744249.81 
001184.OF,7914333193.40 
001185.OF,258075045.18 
001190.OF,473675064.08 
001191.OF,1783642242.78 
001192.OF,2549573950.40 
001194.OF,205827798.33 
001196.OF,1799145495.75 
001197.OF,4879737613.81 
001198.OF,699188035.76 
001201.OF,1936339816.17 
001202.OF,706325413.83 
001205.OF,2151911046.04 
001206.OF,4360403751.74 
001207.OF,3019786.43 
001209.OF,950444278.67 
001210.OF,1533287764.97 
001215.OF,1433461698.21 
001216.OF,3811686775.58 
001217.OF,8441912.13 
001218.OF,1717185487.44 
001219.OF,1043690687.18 
001220.OF,2035768872.72 
001222.OF,594733857.04 
001224.OF,306507070.14 
001225.OF,5061721465.75 
001226.OF,2618147576.14 
001227.OF,8605223534.01 
001228.OF,106615066.00 
001229.OF,1042689735.76 
001231.OF,2449849819.79 
001239.OF,1913905318.64 
001244.OF,594448421.74 
001247.OF,2388118245.33 
001249.OF,2735976654.24 
001250.OF,2902920877.98 
001252.OF,2979414779.91 
001253.OF,2581937496.44 
001254.OF,3747342751.76 
001255.OF,1578715210.59 
001259.OF,2086892735.25 
001261.OF,486590891.01 
001262.OF,2877202360.04 
001263.OF,539533791.23 
001264.OF,5107356745.75 
001265.OF,1075404558.12 
001270.OF,1532386190.68 
001271.OF,2451092499.82 
001272.OF,324083932.99 
001273.OF,3084912272.64 
001274.OF,0.00 
001275.OF,1057925114.87 
001276.OF,798905416.13 
001278.OF,615922668.12 
001279.OF,520170941.07 
001280.OF,2566933322.29 
001281.OF,16857695.20 
001283.OF,105998691.84 
001284.OF,1026302489.41 
001285.OF,873602710.63 
001286.OF,2035738864.78 
001287.OF,245709066.36 
001289.OF,64499401.33 
001294.OF,810820921.38 
001295.OF,356705145.73 
001297.OF,1337365535.52 
001298.OF,403463804.31 
001300.OF,1628795994.63 
001301.OF,784770318.66 
001302.OF,98806349.58 
001303.OF,189748253.16 
001304.OF,2459774869.37 
001305.OF,1834114309.29 
001311.OF,5909363158.36 
001312.OF,245976545.08 
001314.OF,503254207.55 
001315.OF,2006370090.68 
001316.OF,54757701.87 
001318.OF,2044631318.29 
001320.OF,4284173611.10 
001321.OF,1720097942.16 
001322.OF,779606507.61 
001323.OF,940290472.30 
001324.OF,2335710920.34 
001325.OF,1023713542.96 
001326.OF,1550376837.14 
001327.OF,57175622.69 
001328.OF,2314263742.46 
001329.OF,143079707.13 
001330.OF,2438106959.43 
001331.OF,143693389.46 
001332.OF,3066443317.65 
001333.OF,3546256971.70 
001334.OF,2894748391.62 
001335.OF,822623760.61 
001336.OF,231172726.03 
001337.OF,2526911875.11 
001338.OF,3449320400.56 
001339.OF,215457717.72 
001340.OF,4069852829.72 
001341.OF,683006.25 
001342.OF,1112117006.63 
001343.OF,1731594154.82 
001345.OF,1979649700.11 
001347.OF,1720695051.18 
001348.OF,96038768.74 
001352.OF,1070818629.11 
001357.OF,2573723691.61 
001359.OF,163281546.32 
001362.OF,1087298307.49 
001365.OF,285689763.75 
001366.OF,697082976.92 
001367.OF,96555201.74 
001370.OF,2084576315.34 
001371.OF,720841930.18 
001373.OF,16604532746.61 
001376.OF,12208624.75 
001379.OF,1475326891.20 
001380.OF,825119872.52 
001381.OF,1262221809.06 
001384.OF,586397870.38 
001385.OF,397940741.97 
001387.OF,199662716.23 
001388.OF,2295081074.36 
001389.OF,49920926.37 
001390.OF,293715596.01 
001392.OF,136497317.52 
001393.OF,3167706137.58 
001394.OF,8409768.48 
001395.OF,2532223024.63 
001398.OF,1334101571.57 
001399.OF,339557197.78 
001400.OF,3106461997.14 
001402.OF,157845283.13 
001405.OF,83271190.78 
001406.OF,2642709974.30 
001407.OF,2453170365.42 
001408.OF,48616246.55 
001411.OF,1232097499.78 
001412.OF,286797276.86 
001413.OF,3323323.16 
001414.OF,5058095913.71 
001415.OF,260180471.08 
001417.OF,21097355330.23 
001418.OF,2556428509.98 
001419.OF,1713451272.34 
001422.OF,77367236.25 
001423.OF,2503627652.34 
001424.OF,873034.79 
001425.OF,1264416326.99 
001427.OF,7570539.00 
001430.OF,635197371.05 
001431.OF,16358437.73 
001433.OF,262240520.77 
001437.OF,196111194.13 
001438.OF,62548924.68 
001443.OF,4505506718.79 
001444.OF,704359.77 
001445.OF,787299838.07 
001446.OF,2644547145.28 
001447.OF,4633724695.97 
001449.OF,386134553.96 
001453.OF,103563534.14 
001454.OF,3164078104.35 
001456.OF,123628045.83 
001457.OF,1561902697.42 
001464.OF,3908919790.70 
001465.OF,1410945.85 
001466.OF,922647279.44 
001467.OF,2617182183.22 
001468.OF,2084686765.55 
001470.OF,906835112.18 
001471.OF,1865089514.36 
001474.OF,237182030.44 
001479.OF,556035173.79 
001480.OF,1169438132.55 
001484.OF,2635096489.96 
001487.OF,148133164.06 
001488.OF,1011431833.31 
001489.OF,1520326924.01 
001491.OF,763366600.63 
001492.OF,224811048.60 
001493.OF,2514188250.27 
001494.OF,11182749.12 
001499.OF,1869235320.82 
001500.OF,673594327.85 
001501.OF,67012.33 
001502.OF,2659380861.00 
001503.OF,32188914.02 
001504.OF,214708308.11 
001505.OF,1543903913.36 
001506.OF,51370227.17 
001507.OF,150.30 
001508.OF,54361104.43 
001510.OF,56815001.25 
001511.OF,4367546779.34 
001515.OF,2025278.96 
001517.OF,3333894293.85 
001518.OF,71688172.52 
001522.OF,928162.28 
001523.OF,1403201990.73 
001534.OF,1043205084.48 
001535.OF,230681817.16 
001536.OF,345842700.56 
001537.OF,219834499.66 
001538.OF,132464497.26 
001540.OF,1052006829.73 
001543.OF,279998752.58 
001547.OF,1727635345.52 
001563.OF,125227340.31 
001564.OF,996577796.32 
001566.OF,1592545225.68 
001567.OF,1306677636.23 
001569.OF,440145201.17 
001570.OF,9802360.70 
001574.OF,275149192.82 
001580.OF,1402134778.81 
001582.OF,164805805.08 
001584.OF,350478.62 
001585.OF,2703647465.59 
001597.OF,257926.57 
001598.OF,3259028227.09 
001601.OF,204341306.36 
001602.OF,2308229785.16 
001604.OF,242075785.18 
001606.OF,175973366.78 
001607.OF,12084.30 
001608.OF,199338828.76 
001609.OF,87053470.06 
001610.OF,2933577537.88 
001620.OF,42517626332.73 
001623.OF,330706514.67 
001635.OF,191037.01 
001636.OF,201750946.39 
001639.OF,
001640.OF,
001650.OF,1558002984.11 
001654.OF,3687528925.93 
001662.OF,246970419.16 
001664.OF,264755957.78 
001665.OF,129709482.39 
001670.OF,29377358.43 
001671.OF,5720875.55 
001673.OF,18714533.40 
001674.OF,695380.06 
001675.OF,136779476.45 
001676.OF,1101474026.80 
001679.OF,71950732.62 
001681.OF,417955718.65 
001682.OF,155464127.72 
001683.OF,41320224323.19 
001686.OF,314239.60 
001687.OF,2311940631.34 
001688.OF,2312911425.25 
001694.OF,
001695.OF,838880929.47 
001701.OF,
001702.OF,144003379.58 
001708.OF,117275905.34 
001709.OF,309669208.62 
001712.OF,524426781.34 
001716.OF,2199320527.41 
001723.OF,187803040.04 
001724.OF,1919720917.59 
001727.OF,1034485668.75 
001728.OF,732312479.42 
001729.OF,40328371.32 
001730.OF,390100435.08 
001734.OF,552076590.80 
001735.OF,121980009.74 
001737.OF,273102764.86 
001740.OF,297382767.41 
001741.OF,94617169.98 
001742.OF,190600490.31 
001753.OF,182330402.62 
001754.OF,131585086.93 
001755.OF,
001760.OF,248871345.70 
001761.OF,199963888.42 
001762.OF,1085921.92 
001763.OF,5404700723.39 
001769.OF,47663803984.80 
001772.OF,43712233492.77 
001773.OF,40440276805.23 
001774.OF,0.00 
001775.OF,501405119.15 
001777.OF,101144379.77 
001778.OF,121287671.80 
001795.OF,309547885.55 
001796.OF,2143951.61 
001797.OF,1212874657.72 
001798.OF,166434211.64 
001799.OF,112513234.29 
001801.OF,233795174.10 
001802.OF,396527673.88 
001803.OF,993541.80 
001808.OF,275368178.59 
001810.OF,279139340.98 
001815.OF,496431453.66 
001822.OF,497114579.15 
001823.OF,504966769.73 
001827.OF,
001829.OF,208650420.17 
001830.OF,255627264.68 
001834.OF,823615060.22 
001837.OF,148838345.59 
001838.OF,690019247.12 
001840.OF,2502442010.95 
001841.OF,51250.30 
001852.OF,265553528.17 
001861.OF,319701202.39 
001864.OF,
001865.OF,2004904213.96 
001866.OF,72288161.36 
001869.OF,899849555.06 
001885.OF,1549469.58 
001887.OF,126641121.98 
001890.OF,404306.04 
001891.OF,1552473.27 
001892.OF,560887853.37 
001897.OF,231212269.24 
001903.OF,513228858.91 
001904.OF,1530887.24 
001910.OF,607300631.95 
001924.OF,2795611557.52 
001927.OF,496343323.87 
001928.OF,146584730.92 
001933.OF,202975005.25 
001939.OF,29088.94 
001940.OF,632099138.13 
001951.OF,587391782.94 
001954.OF,
001959.OF,248153008.50 
001967.OF,517881466.31 
001970.OF,337695202.11 
001972.OF,282393457.75 
001979.OF,516146841.48 
001990.OF,513853461.98 
001997.OF,228333.06 
002009.OF,291.87 
002010.OF,2006821239.94 
002013.OF,201.20 
002014.OF,2509594863.44 
002015.OF,4254319.23 
002016.OF,1836924568.82 
002017.OF,2775253552.19 
002018.OF,19516933.26 
002019.OF,720730061.06 
002020.OF,382686216.99 
002025.OF,1994148.93 
002026.OF,966754.87 
002027.OF,2792269297.85 
002028.OF,2594603670.70 
002029.OF,1407132137.81 
002030.OF,2329066724.46 
002031.OF,686624388.14 
002035.OF,2472185041.46 
002036.OF,2260444048.96 
002039.OF,247440.90 
002040.OF,2953775746.54 
002041.OF,937181.72 
002042.OF,372282024.87 
002043.OF,970967130.00 
002045.OF,2412745940.60 
002046.OF,1002.12 
002047.OF,1605716420.10 
002049.OF,2709329115.04 
002051.OF,3469412255.47 
002052.OF,2508344632.74 
002053.OF,1404742968.48 
002054.OF,3445111.48 
002055.OF,1935028402.06 
002056.OF,3608135325.21 
002057.OF,35258410.43 
002058.OF,3965758725.92 
002059.OF,2131911264.50 
002060.OF,1507741.52 
002062.OF,1778523114.62 
002063.OF,2390172158.77 
002068.OF,1158210036.25 
002071.OF,2124937190.65 
002072.OF,33900279.24 
002075.OF,2519501651.74 
002079.OF,247127518.22 
002080.OF,1902701281.79 
002081.OF,107835335.86 
002082.OF,2929001011.49 
002085.OF,775505488.82 
002087.OF,1176754.85 
002088.OF,2507256427.96 
002091.OF,11006.72 
002092.OF,106591.01 
002093.OF,654942516.11 
002094.OF,80266.08 
002095.OF,504258588.94 
002096.OF,0.00 
002097.OF,515703.47 
002098.OF,302150495.92 
002101.OF,101316.66 
002102.OF,2517189031.18 
002103.OF,231736027.65 
002106.OF,300332177.16 
002107.OF,172687897.63 
002108.OF,383347.33 
002110.OF,1405192290.94 
002112.OF,1189221392.38 
002113.OF,8330.06 
002116.OF,200181608.84 
002117.OF,156401.72 
002124.OF,404185437.78 
002132.OF,296803726.51 
002134.OF,600529246.26 
002141.OF,1642691006.64 
002142.OF,206338632.38 
002144.OF,4190790421.18 
002148.OF,199696743.58 
002149.OF,
002152.OF,528583712.83 
002156.OF,13206608.21 
002157.OF,369590728.36 
002158.OF,2797255174.25 
002159.OF,345914107.57 
002160.OF,
002163.OF,422543688.55 
002165.OF,636626281.82 
002170.OF,0.00 
002172.OF,885.75 
002178.OF,331624.19 
002182.OF,302520026.34 
002186.OF,560763956.09 
002207.OF,2006.97 
002211.OF,
002212.OF,
002222.OF,
002223.OF,779566529.04 
002231.OF,9017567.77 
002232.OF,200476259.33 
002233.OF,100270504.76 
002237.OF,0.00 
002244.OF,
002250.OF,109703307.16 
002251.OF,
002252.OF,889466734.92 
002259.OF,320526656.14 
002261.OF,9286404.13 
002262.OF,210700430.99 
002263.OF,393953210.98 
002270.OF,211190386.04 
002272.OF,
002273.OF,
002290.OF,0.00 
002297.OF,
002301.OF,200249224.97 
002303.OF,
002313.OF,
002314.OF,
002330.OF,201806293.01 
002339.OF,
002360.OF,
002365.OF,4541383.54 
002366.OF,232096994.45 
002368.OF,11660743.43 
002369.OF,297824731.95 
002370.OF,
002371.OF,
002372.OF,
002373.OF,
002374.OF,
002375.OF,
002376.OF,238101492.49 
002383.OF,
002388.OF,200355918.83 
002408.OF,
002409.OF,201945472.86 
002410.OF,0.00 
002413.OF,11227718.02 
002414.OF,201728983.57 
002416.OF,
002417.OF,
002418.OF,
002441.OF,
002450.OF,
002451.OF,
002461.OF,
002462.OF,
002485.OF,
002494.OF,
040015.OF,294552599.89 
050012.OF,569655715.92 
050022.OF,70704837.58 
070018.OF,483950002.97 
080002.OF,184266098.85 
080008.OF,1941181340.57 
100029.OF,2912532558.93 
110010.OF,8190216892.11 
110012.OF,479390247.03 
121006.OF,572790860.51 
160220.OF,3464414886.74 
160226.OF,598666.87 
160624.OF,430795868.82 
160627.OF,362773343.61 
160812.OF,297883643.88 
160813.OF,390225916.39 
161219.OF,69939524.19 
161224.OF,474721746.42 
161722.OF,4261020786.66 
162211.OF,53562222.42 
162414.OF,469077034.44 
163001.OF,153362658.81 
163402.OF,6878755443.39 
163807.OF,423913638.51 
163809.OF,328768430.99 
163810.OF,301058356.94 
164205.OF,215248135.42 
165526.OF,493903480.49 
165527.OF,329496836.22 
166002.OF,3681495973.62 
166019.OF,889913888.86 
166020.OF,322390936.95 
166301.OF,116184055.81 
166801.OF,194447211.28 
180018.OF,307510930.96 
180020.OF,344721110.84 
200001.OF,902221219.03 
200007.OF,2730451116.01 
200011.OF,104851377.62 
202023.OF,405604946.69 
202027.OF,581922802.93 
206001.OF,2591493325.11 
210001.OF,518809433.56 
210002.OF,91980042.31 
210007.OF,67463545.07 
210010.OF,9417134.25 
210011.OF,1093000413.67 
213001.OF,1444807696.69 
213006.OF,2330726353.63 
217021.OF,87256208.14 
233008.OF,363677249.90 
240002.OF,597677206.28 
260103.OF,1658945635.77 
270022.OF,449684819.98 
290005.OF,106334036.37 
290012.OF,1131467808.53 
320006.OF,4312423465.19 
320018.OF,75348990.21 
340008.OF,1072532176.98 
350007.OF,1747923857.50 
350009.OF,33099876.83 
360011.OF,1502794160.56 
393001.OF,51879656.36 
398031.OF,217065323.39 
398051.OF,82956439.09 
400001.OF,1279062751.52 
400015.OF,50960401.61 
400018.OF,12940531.45 
400022.OF,2092570881.31 
400023.OF,626495004.78 
400025.OF,218590581.98 
410006.OF,25842381.94 
410007.OF,959623273.01 
420001.OF,1882196728.66 
450010.OF,71592826.82 
470021.OF,51460871.09 
487021.OF,
501000.OF,25360160.01 
519003.OF,1353506954.37 
519007.OF,605205764.12 
519029.OF,2454772617.40 
519050.OF,2583968940.86 
519066.OF,840740656.61 
519091.OF,280610402.14 
519113.OF,609393700.11 
519120.OF,1907359536.13 
519125.OF,139832833.20 
519126.OF,117022110.77 
519127.OF,3841456498.94 
519130.OF,1433472873.49 
519132.OF,318813012.97 
519156.OF,3632407329.99 
519157.OF,41739498.81 
519165.OF,221433683.47 
519170.OF,3188189800.77 
519171.OF,2375759836.15 
519172.OF,433190451.08 
519173.OF,233239570.68 
519176.OF,
519177.OF,300928211.98 
519183.OF,999645087.51 
519191.OF,638993854.55 
519196.OF,254915888.20 
519640.OF,190086911.68 
519641.OF,23255683.23 
519642.OF,
519644.OF,731933801.65 
519646.OF,1420564759.44 
519647.OF,2809009960.54 
519651.OF,2667971068.72 
519652.OF,2280012087.50 
519653.OF,31206988.05 
519655.OF,2967253258.04 
519656.OF,125833175.50 
519657.OF,121645618.65 
519690.OF,3518892623.70 
519697.OF,297483129.15 
519700.OF,916342746.38 
519710.OF,191549869.97 
519738.OF,3016588831.47 
519752.OF,5042982288.28 
519755.OF,1741010243.06 
519756.OF,1827355880.97 
519759.OF,927408422.04 
519760.OF,222065.62 
519761.OF,2260760643.93 
519764.OF,264815773.63 
519908.OF,1495892395.33 
519909.OF,860461971.60 
519918.OF,1140063476.63 
519951.OF,
519956.OF,109964082.44 
519957.OF,20541407.80 
519959.OF,823812652.91 
519960.OF,503160718.21 
519961.OF,1010776409.85 
519962.OF,1129240596.76 
519963.OF,1563023778.40 
519969.OF,52251641.32 
519971.OF,2170199345.38 
519991.OF,1640109829.54 
530005.OF,2892461724.59 
530012.OF,289575692.54 
530016.OF,40365639.11 
540003.OF,851981879.67 
560006.OF,52844615.97 
571002.OF,43614905.65 
580005.OF,103747490.88 
580009.OF,34966480.14 
590003.OF,1361751959.64 
590006.OF,1430919234.83 
610002.OF,175583033.72 
620002.OF,27130144.53 
630005.OF,2358382723.23 
630008.OF,1616188873.05 
630015.OF,1855433652.68 
630016.OF,1954816716.22 
673010.OF,91178775.08 
673020.OF,3729030502.18 
673030.OF,5485449273.54 
673040.OF,
673050.OF,200038186.97 
680001.OF,3000365921.15 
690001.OF,206314371.29 
690009.OF,173558752.97 
690011.OF,112821871.36 
710002.OF,199641734.65 
720001.OF,1008800362.92 
750001.OF,148043746.56 
750005.OF,305462441.97 
762001.OF,936458409.40 
770001.OF,41108889.06 
960004.OF,
960009.OF,
960017.OF,
