code,establish_date
000377.OF,2013-12-11
000378.OF,2013-12-11
000412.OF,2013-12-23
000406.OF,2013-12-03
519729.OF,2013-12-25
000407.OF,2013-12-03
000405.OF,2013-12-30
000436.OF,2013-12-17
000288.OF,2014-01-22
000287.OF,2014-01-22
000474.OF,2014-01-27
000473.OF,2014-01-27
164302.OF,2014-01-24
519735.OF,2014-01-28
000481.OF,2014-01-28
000463.OF,2014-01-28
000504.OF,2014-01-27
000503.OF,2014-01-27
519733.OF,2014-01-28
000426.OF,2014-01-28
000427.OF,2014-01-28
164303.OF,2014-01-24
000508.OF,2014-03-05
000507.OF,2014-03-05
164509.OF,2014-03-10
164510.OF,2014-03-10
000502.OF,2014-03-19
000500.OF,2014-03-19
000501.OF,2014-03-19
000546.OF,2014-03-13
000465.OF,2014-03-20
000536.OF,2014-03-25
000553.OF,2014-03-24
519061.OF,2014-04-02
519060.OF,2014-04-02
000552.OF,2014-03-24
000579.OF,2014-04-17
000578.OF,2014-04-17
000299.OF,2014-04-23
000298.OF,2014-04-23
000367.OF,2014-04-30
000564.OF,2014-04-25
000563.OF,2014-04-25
000571.OF,2014-05-04
165809.OF,2014-05-09
000611.OF,2014-05-07
000610.OF,2014-04-25
000403.OF,2014-05-16
000402.OF,2014-05-16
519058.OF,2014-05-06
519059.OF,2014-05-06
000622.OF,2014-05-07
000510.OF,2014-06-24
519057.OF,2014-05-06
000623.OF,2014-05-07
000583.OF,2014-05-29
000639.OF,2014-05-21
000617.OF,2014-06-11
000616.OF,2014-06-11
161827.OF,2014-05-22
161828.OF,2014-05-22
000630.OF,2014-05-30
000629.OF,2014-05-30
161015.OF,2014-05-23
000633.OF,2014-06-05
000631.OF,2014-06-05
000632.OF,2014-06-05
000655.OF,2014-06-12
000694.OF,2014-06-26
000695.OF,2014-06-26
000469.OF,2014-07-25
000649.OF,2014-07-30
160810.OF,2014-06-27
000562.OF,2014-07-25
000561.OF,2014-07-25
000669.OF,2014-07-24
000668.OF,2014-07-24
161719.OF,2014-07-31
000320.OF,2014-08-06
000319.OF,2014-08-06
519675.OF,2014-08-06
000490.OF,2014-08-12
000728.OF,2014-08-12
000489.OF,2014-08-12
000744.OF,2014-08-27
000745.OF,2014-08-27
020018.OF,2014-08-26
000416.OF,2014-09-02
000415.OF,2014-09-02
000752.OF,2014-09-15
000266.OF,2014-09-10
000674.OF,2014-08-29
000265.OF,2014-09-10
000676.OF,2014-08-29
000438.OF,2014-08-29
000437.OF,2014-08-29
000675.OF,2014-08-29
400027.OF,2014-09-24
400029.OF,2014-09-24
000782.OF,2014-09-26
000781.OF,2014-09-26
000804.OF,2014-09-26
000812.OF,2014-10-28
000810.OF,2014-10-28
000817.OF,2014-10-24
000801.OF,2014-11-04
000802.OF,2014-11-04
000813.OF,2014-10-15
000768.OF,2014-10-28
000770.OF,2014-10-28
000814.OF,2014-10-15
511220.OF,2014-11-13
000736.OF,2014-11-13
000769.OF,2014-10-28
000737.OF,2014-11-13
000840.OF,2014-11-18
000839.OF,2014-11-18
000394.OF,2014-10-30
000419.OF,2014-11-25
000420.OF,2014-11-25
519129.OF,2014-12-05
519128.OF,2014-12-05
000875.OF,2014-12-02
000876.OF,2014-12-02
000466.OF,2014-11-14
000859.OF,2014-11-14
000865.OF,2014-12-09
000896.OF,2014-12-02
000897.OF,2014-12-02
000422.OF,2014-12-11
000421.OF,2014-12-11
000900.OF,2014-12-02
400030.OF,2014-12-15
000894.OF,2014-12-01
164208.OF,2014-11-24
000899.OF,2014-12-17
000898.OF,2014-12-17
000890.OF,2014-12-24
000889.OF,2014-12-24
160618.OF,2014-12-08
000909.OF,2014-12-16
000910.OF,2014-12-16
000914.OF,2014-12-17
166401.OF,2014-12-15
202211.OF,2014-12-30
519167.OF,2015-01-10
121010.OF,2015-01-22
000931.OF,2015-01-22
000333.OF,2015-01-28
000334.OF,2015-01-28
020029.OF,2014-12-31
000774.OF,2015-01-20
000932.OF,2015-01-14
000887.OF,2015-01-27
000775.OF,2015-01-20
000933.OF,2015-01-14
000973.OF,2015-01-16
487016.OF,2015-02-03
000297.OF,2015-02-03
000240.OF,2015-02-03
000239.OF,2015-02-03
001014.OF,2015-02-12
620009.OF,2015-01-14
000997.OF,2015-02-10
000998.OF,2015-02-10
000938.OF,2015-02-17
000937.OF,2015-02-17
001035.OF,2015-01-30
001019.OF,2015-02-12
165705.OF,2015-02-16
001020.OF,2015-03-23
001034.OF,2015-03-16
001055.OF,2015-03-30
162105.OF,2015-03-09
001116.OF,2015-03-25
001115.OF,2015-03-25
001155.OF,2015-04-03
001160.OF,2015-05-04
001161.OF,2015-05-04
001189.OF,2015-04-09
001203.OF,2015-04-17
001204.OF,2015-04-17
165517.OF,2015-04-14
519967.OF,2015-05-06
166012.OF,2015-04-20
001238.OF,2015-04-29
001199.OF,2015-05-15
001200.OF,2015-05-15
162108.OF,2015-05-04
001282.OF,2015-05-27
001221.OF,2015-05-13
166105.OF,2015-05-07
001290.OF,2015-05-14
001266.OF,2015-06-03
001260.OF,2015-05-14
001258.OF,2015-05-29
001257.OF,2015-05-29
000327.OF,2015-05-29
001309.OF,2015-06-03
001292.OF,2015-05-27
001293.OF,2015-05-27
001358.OF,2015-05-29
001355.OF,2015-06-08
001356.OF,2015-06-08
001354.OF,2015-06-01
519753.OF,2015-05-29
001182.OF,2015-05-29
001353.OF,2015-06-01
001246.OF,2015-06-09
001317.OF,2015-06-12
162511.OF,2015-06-04
001299.OF,2015-06-10
001368.OF,2015-06-10
001369.OF,2015-06-10
519190.OF,2015-06-08
001448.OF,2015-06-16
001485.OF,2015-06-16
001429.OF,2015-06-24
001531.OF,2015-07-14
001572.OF,2015-07-03
001571.OF,2015-07-03
001578.OF,2015-06-30
001363.OF,2015-07-27
001512.OF,2015-07-08
001137.OF,2015-07-21
001138.OF,2015-07-21
167501.OF,2015-07-24
001704.OF,2015-08-26
